Group 1 (omitted pair: (0, 1)): 	[(2, 3, 4),(5, 7, 27),(6, 10, 13),(8, 11, 17),(9, 21, 29),(12, 18, 31),(14, 15, 24),(16, 19, 23),(20, 25, 28),(22, 26, 30)]
Group 2 (omitted pair: (0, 2)): 	[(1, 3, 31),(4, 24, 27),(5, 9, 11),(6, 25, 26),(7, 23, 30),(8, 20, 29),(10, 13, 21),(12, 16, 28),(14, 18, 22),(15, 17, 19)]
Group 3 (omitted pair: (0, 3)): 	[(1, 16, 29),(2, 9, 19),(4, 5, 8),(6, 17, 23),(7, 22, 30),(10, 13, 27),(11, 21, 25),(12, 24, 28),(14, 18, 31),(15, 20, 26)]
Group 4 (omitted pair: (0, 4)): 	[(1, 17, 24),(2, 12, 16),(3, 5, 25),(6, 20, 23),(7, 19, 27),(8, 10, 14),(9, 13, 30),(11, 18, 26),(15, 21, 28),(22, 29, 31)]
Group 5 (omitted pair: (0, 5)): 	[(1, 2, 18),(3, 7, 16),(4, 8, 22),(6, 11, 17),(9, 19, 28),(10, 15, 27),(12, 13, 30),(14, 25, 31),(20, 24, 29),(21, 23, 26)]
Group 6 (omitted pair: (0, 6)): 	[(1, 3, 28),(2, 7, 14),(4, 11, 13),(5, 19, 30),(8, 10, 27),(9, 12, 29),(15, 16, 17),(18, 21, 25),(20, 26, 31),(22, 23, 24)]
Group 7 (omitted pair: (0, 7)): 	[(1, 10, 30),(2, 5, 11),(3, 8, 19),(4, 20, 25),(6, 18, 26),(9, 21, 28),(12, 13, 23),(14, 17, 22),(15, 27, 31),(16, 24, 29)]
Group 8 (omitted pair: (0, 8)): 	[(1, 19, 25),(2, 4, 17),(3, 15, 18),(5, 23, 30),(6, 7, 10),(9, 11, 27),(12, 24, 31),(13, 14, 21),(16, 20, 29),(22, 26, 28)]
Group 9 (omitted pair: (0, 9)): 	[(1, 21, 29),(2, 7, 8),(3, 22, 24),(4, 10, 23),(5, 6, 17),(11, 19, 31),(12, 16, 18),(13, 25, 30),(14, 20, 26),(15, 27, 28)]
Group 10 (omitted pair: (0, 10)): 	[(1, 23, 28),(2, 4, 18),(3, 15, 21),(5, 13, 29),(6, 9, 31),(7, 22, 24),(8, 19, 20),(11, 27, 30),(12, 16, 26),(14, 17, 25)]
Group 11 (omitted pair: (0, 11)): 	[(1, 29, 30),(2, 12, 26),(3, 14, 23),(4, 7, 15),(5, 6, 28),(8, 16, 25),(9, 19, 22),(10, 18, 27),(13, 20, 21),(17, 24, 31)]
Group 12 (omitted pair: (0, 12)): 	[(1, 17, 30),(2, 9, 13),(3, 10, 11),(4, 7, 20),(5, 16, 18),(6, 21, 26),(8, 25, 27),(14, 23, 29),(15, 22, 31),(19, 24, 28)]
Group 13 (omitted pair: (0, 13)): 	[(1, 15, 29),(2, 4, 23),(3, 5, 6),(7, 24, 30),(8, 18, 19),(9, 10, 21),(11, 12, 31),(14, 26, 27),(16, 17, 28),(20, 22, 25)]
Group 14 (omitted pair: (0, 14)): 	[(1, 4, 19),(2, 17, 29),(3, 16, 21),(5, 10, 15),(6, 8, 22),(7, 25, 31),(9, 13, 26),(11, 24, 28),(12, 20, 30),(18, 23, 27)]
Group 15 (omitted pair: (0, 15)): 	[(1, 18, 31),(2, 16, 30),(3, 7, 25),(4, 17, 26),(5, 6, 8),(9, 23, 24),(10, 20, 27),(11, 12, 14),(13, 19, 28),(21, 22, 29)]
Group 16 (omitted pair: (0, 16)): 	[(1, 19, 22),(2, 13, 21),(3, 4, 5),(6, 14, 30),(7, 17, 27),(8, 10, 28),(9, 11, 31),(12, 15, 24),(18, 23, 26),(20, 25, 29)]
Group 17 (omitted pair: (0, 17)): 	[(1, 7, 12),(2, 23, 31),(3, 4, 26),(5, 13, 30),(6, 21, 25),(8, 11, 24),(9, 27, 29),(10, 14, 22),(15, 19, 20),(16, 18, 28)]
Group 18 (omitted pair: (0, 18)): 	[(1, 13, 17),(2, 4, 5),(3, 23, 29),(6, 11, 27),(7, 16, 28),(8, 25, 26),(9, 10, 19),(12, 21, 22),(14, 15, 20),(24, 30, 31)]
Group 19 (omitted pair: (0, 19)): 	[(1, 11, 26),(2, 29, 31),(3, 4, 7),(5, 14, 27),(6, 12, 28),(8, 16, 30),(9, 15, 23),(10, 17, 22),(13, 21, 24),(18, 20, 25)]
Group 20 (omitted pair: (0, 20)): 	[(1, 16, 18),(2, 3, 12),(4, 22, 30),(5, 15, 26),(6, 7, 13),(8, 9, 11),(10, 21, 25),(14, 17, 29),(19, 23, 28),(24, 27, 31)]
Group 21 (omitted pair: (0, 21)): 	[(1, 4, 15),(2, 7, 26),(3, 10, 27),(5, 16, 29),(6, 18, 20),(8, 19, 22),(9, 17, 25),(11, 24, 30),(12, 13, 14),(23, 28, 31)]
Group 22 (omitted pair: (0, 22)): 	[(1, 5, 7),(2, 21, 31),(3, 4, 14),(6, 15, 25),(8, 18, 30),(9, 11, 12),(10, 26, 27),(13, 17, 28),(16, 19, 20),(23, 24, 29)]
Group 23 (omitted pair: (0, 23)): 	[(1, 4, 30),(2, 14, 17),(3, 5, 18),(6, 22, 28),(7, 12, 20),(8, 26, 29),(9, 15, 16),(10, 24, 31),(11, 25, 27),(13, 19, 21)]
Group 24 (omitted pair: (0, 24)): 	[(1, 25, 31),(2, 5, 29),(3, 6, 13),(4, 19, 26),(7, 8, 10),(9, 15, 30),(11, 12, 23),(14, 16, 21),(17, 20, 22),(18, 27, 28)]
Group 25 (omitted pair: (0, 25)): 	[(1, 8, 17),(2, 6, 29),(3, 7, 30),(4, 9, 22),(5, 10, 26),(11, 19, 23),(12, 14, 27),(13, 20, 24),(15, 16, 28),(18, 21, 31)]
Group 26 (omitted pair: (0, 26)): 	[(1, 7, 19),(2, 4, 21),(3, 6, 22),(5, 10, 14),(8, 24, 25),(9, 11, 30),(12, 13, 15),(16, 20, 28),(17, 27, 31),(18, 23, 29)]
Group 27 (omitted pair: (0, 27)): 	[(1, 6, 29),(2, 7, 24),(3, 8, 16),(4, 12, 20),(5, 10, 25),(9, 15, 19),(11, 14, 28),(13, 21, 23),(17, 22, 30),(18, 26, 31)]
Group 28 (omitted pair: (0, 28)): 	[(1, 2, 13),(3, 5, 22),(4, 7, 21),(6, 24, 29),(8, 9, 18),(10, 12, 19),(11, 14, 27),(15, 20, 30),(16, 26, 31),(17, 23, 25)]
Group 29 (omitted pair: (0, 29)): 	[(1, 26, 28),(2, 10, 21),(3, 24, 31),(4, 9, 23),(5, 6, 15),(7, 8, 22),(11, 19, 30),(12, 16, 27),(13, 18, 25),(14, 17, 20)]
Group 30 (omitted pair: (0, 30)): 	[(1, 6, 23),(2, 27, 28),(3, 7, 11),(4, 29, 31),(5, 15, 22),(8, 18, 21),(9, 10, 26),(12, 13, 16),(14, 19, 20),(17, 24, 25)]
Group 31 (omitted pair: (0, 31)): 	[(1, 6, 20),(2, 13, 25),(3, 19, 26),(4, 11, 27),(5, 14, 22),(7, 8, 28),(9, 12, 15),(10, 17, 23),(16, 24, 30),(18, 21, 29)]
Group 32 (omitted pair: (1, 2)): 	[(0, 10, 13),(3, 9, 16),(4, 7, 8),(5, 17, 20),(6, 25, 30),(11, 22, 24),(12, 14, 21),(15, 28, 31),(18, 19, 26),(23, 27, 29)]
Group 33 (omitted pair: (1, 3)): 	[(0, 20, 27),(2, 10, 25),(4, 22, 24),(5, 12, 15),(6, 23, 31),(7, 21, 26),(8, 11, 18),(9, 13, 14),(16, 19, 28),(17, 29, 30)]
Group 34 (omitted pair: (1, 4)): 	[(0, 21, 26),(2, 5, 19),(3, 16, 20),(6, 27, 31),(7, 9, 29),(8, 11, 28),(10, 15, 18),(12, 24, 25),(13, 17, 22),(14, 23, 30)]
Group 35 (omitted pair: (1, 5)): 	[(0, 10, 30),(2, 17, 20),(3, 9, 19),(4, 22, 26),(6, 15, 31),(7, 8, 14),(11, 25, 28),(12, 24, 29),(13, 23, 27),(16, 18, 21)]
Group 36 (omitted pair: (1, 6)): 	[(0, 7, 25),(2, 4, 14),(3, 8, 17),(5, 22, 28),(9, 20, 24),(10, 26, 31),(11, 12, 29),(13, 21, 27),(15, 16, 23),(18, 19, 30)]
Group 37 (omitted pair: (1, 7)): 	[(0, 10, 18),(2, 13, 28),(3, 20, 25),(4, 12, 27),(5, 15, 31),(6, 14, 17),(8, 23, 29),(9, 21, 24),(11, 19, 22),(16, 26, 30)]
Group 38 (omitted pair: (1, 8)): 	[(0, 9, 22),(2, 18, 30),(3, 10, 17),(4, 24, 29),(5, 19, 20),(6, 21, 31),(7, 12, 28),(11, 14, 25),(13, 15, 16),(23, 26, 27)]
Group 39 (omitted pair: (1, 9)): 	[(0, 5, 6),(2, 3, 20),(4, 12, 25),(7, 16, 22),(8, 10, 24),(11, 27, 29),(13, 14, 26),(15, 19, 21),(17, 28, 31),(18, 23, 30)]
Group 40 (omitted pair: (1, 10)): 	[(0, 14, 23),(2, 4, 8),(3, 9, 20),(5, 29, 30),(6, 7, 24),(11, 13, 26),(12, 15, 21),(16, 25, 27),(17, 18, 19),(22, 28, 31)]
Group 41 (omitted pair: (1, 11)): 	[(0, 25, 27),(2, 7, 23),(3, 26, 31),(4, 12, 13),(5, 8, 10),(6, 18, 19),(9, 17, 24),(14, 28, 30),(15, 22, 29),(16, 20, 21)]
Group 42 (omitted pair: (1, 12)): 	[(0, 8, 27),(2, 25, 29),(3, 19, 23),(4, 28, 31),(5, 15, 24),(6, 7, 11),(9, 14, 20),(10, 18, 26),(13, 16, 30),(17, 21, 22)]
Group 43 (omitted pair: (1, 13)): 	[(0, 20, 31),(2, 10, 12),(3, 7, 21),(4, 6, 28),(5, 11, 14),(8, 23, 26),(9, 24, 27),(15, 18, 25),(16, 17, 30),(19, 22, 29)]
Group 44 (omitted pair: (1, 14)): 	[(0, 13, 31),(2, 15, 25),(3, 26, 27),(4, 7, 19),(5, 17, 23),(6, 18, 21),(8, 10, 11),(9, 20, 28),(12, 29, 30),(16, 22, 24)]
Group 45 (omitted pair: (1, 15)): 	[(0, 13, 27),(2, 7, 9),(3, 20, 21),(4, 18, 22),(5, 24, 29),(6, 25, 28),(8, 17, 19),(10, 14, 30),(11, 16, 31),(12, 23, 26)]
Group 46 (omitted pair: (1, 16)): 	[(0, 2, 3),(4, 5, 13),(6, 7, 14),(8, 19, 21),(9, 17, 29),(10, 12, 31),(11, 15, 18),(20, 23, 25),(22, 24, 28),(26, 27, 30)]
Group 47 (omitted pair: (1, 17)): 	[(0, 3, 19),(2, 11, 15),(4, 9, 14),(5, 6, 18),(7, 12, 22),(8, 29, 31),(10, 26, 30),(13, 16, 20),(21, 23, 28),(24, 25, 27)]
