Group 1	(omitted pair: (0, 1)): 	[(2, 3, 4),(5, 6, 7),(8, 9, 10),(11, 12, 13),(14, 15, 16)]
Group 2	(omitted pair: (0, 2)): 	[(1, 3, 4),(5, 6, 8),(7, 9, 13),(10, 11, 14),(12, 15, 16)]
Group 3	(omitted pair: (0, 3)): 	[(1, 2, 5),(4, 6, 7),(8, 9, 12),(10, 15, 16),(11, 13, 14)]
Group 4	(omitted pair: (0, 4)): 	[(1, 2, 3),(5, 6, 10),(7, 8, 9),(11, 12, 15),(13, 14, 16)]
Group 5	(omitted pair: (0, 5)): 	[(1, 2, 4),(3, 6, 7),(8, 9, 13),(10, 12, 14),(11, 15, 16)]
Group 6	(omitted pair: (0, 6)): 	[(1, 2, 7),(3, 4, 8),(5, 9, 10),(11, 13, 16),(12, 14, 15)]
Group 7	(omitted pair: (0, 7)): 	[(1, 2, 6),(3, 4, 5),(8, 9, 11),(10, 12, 16),(13, 14, 15)]
Group 8	(omitted pair: (0, 8)): 	[(1, 2, 10),(3, 4, 7),(5, 6, 9),(11, 12, 14),(13, 15, 16)]
Group 9	(omitted pair: (0, 9)): 	[(1, 2, 11),(3, 4, 6),(5, 7, 10),(8, 13, 15),(12, 14, 16)]
Group 10	(omitted pair: (0, 10)): 	[(1, 2, 12),(3, 4, 9),(5, 6, 14),(7, 8, 16),(11, 13, 15)]
Group 11	(omitted pair: (0, 11)): 	[(1, 2, 8),(3, 4, 12),(5, 6, 13),(7, 10, 14),(9, 15, 16)]
Group 12	(omitted pair: (0, 12)): 	[(1, 2, 9),(3, 4, 11),(5, 7, 15),(6, 8, 13),(10, 14, 16)]
Group 13	(omitted pair: (0, 13)): 	[(1, 2, 15),(3, 4, 16),(5, 6, 11),(7, 8, 10),(9, 12, 14)]
Group 14	(omitted pair: (0, 14)): 	[(1, 2, 13),(3, 4, 10),(5, 6, 15),(7, 9, 12),(8, 11, 16)]
Group 15	(omitted pair: (0, 15)): 	[(1, 3, 6),(2, 4, 5),(7, 8, 12),(9, 11, 14),(10, 13, 16)]
Group 16	(omitted pair: (0, 16)): 	[(1, 2, 14),(3, 4, 15),(5, 7, 8),(6, 9, 12),(10, 11, 13)]
Group 17	(omitted pair: (1, 2)): 	[(0, 3, 4),(5, 6, 16),(7, 8, 13),(9, 14, 15),(10, 11, 12)]
